header length,15,,,,,,,,,,,,
Area,-84667.14 -114260.0 642940.97 1163723.19,,,,,,,,,,,,
Data Source,Global simulations,,,,,,,,,,,,
Members,ACCESS1-3,,,,,,,,,,,,
Scenario,RCP 8.5,,,,,,,,,,,,
Software Version,WPS-2.7.0-DP-2.7.0-CV-1.0.8,,,,,,,,,,,,
Spatial Representation,60km grid,,,,,,,,,,,,
Temporal Average Type,Monthly,,,,,,,,,,,,
Time Period,all,,,,,,,,,,,,
Variable,Mean air temperature at 1.5m (°C),,,,,,,,,,,,
Year Maximum,2100,,,,,,,,,,,,
Year Minimum,2000,,,,,,,,,,,,
x-axis,Eastings (BNG),,,,,,,,,,,,
y-axis,Northings (BNG),,,,,,,,,,,,
,,,,,,,,,,,,,
16/01/2000,,,,,,,,,,,,,
--,-90000,-30000,30000,90000,150000,210000,270000,330000,390000,450000,510000,570000,630000
1170000,7.31302,7.3502045,7.3383274,7.2694955,7.1707454,7.0844936,6.9683514,6.9077535,6.8474965,6.724662,6.522408,6.3026047,6.0876236
1110000,7.4001384,7.3935103,7.3358016,7.276636,7.1955457,7.1308384,7.0168104,6.9581094,6.90143,6.7837806,6.573419,6.364148,6.1601715
1050000,7.689169,7.714899,7.64926,7.546051,7.019478,6.686337,6.0851665,6.1456094,6.8434825,6.8917303,6.7332344,6.568723,6.4265313
990000,7.7748113,7.7693243,7.6845913,7.608145,6.90075,6.4630446,5.6116633,5.7183547,6.818138,6.951803,6.8149314,6.6644287,6.5355015
930000,8.020394,8.008085,7.8682446,7.7657294,6.9655147,2.8874552,2.8874552,5.638072,6.3630056,6.588235,6.8804436,6.7520823,6.6297092
870000,8.170292,8.149085,7.9722347,7.881239,7.621639,3.7645183,2.5562277,2.0083861,3.804431,6.154637,6.9405966,6.82876,6.7049627
810000,8.302376,8.261389,8.044552,7.9690785,7.9630046,3.9168234,2.5723855,2.158618,2.15498,6.073739,7.0196614,6.915069,6.7799582
750000,8.50943,8.442124,8.158461,8.094797,4.569103,4.048879,2.8558831,2.5000224,5.9290686,6.232216,7.154923,7.0508,6.894039
690000,8.471379,8.409057,8.154418,7.999069,7.470301,4.551453,2.9931557,2.7380562,6.036554,6.316569,7.2087045,7.114312,6.9540052
630000,8.171404,8.070797,7.8466163,6.6629167,6.3621087,4.255607,3.4966257,3.5588238,4.149253,6.624162,7.0757823,7.0556355,7.0362372
570000,8.07277,8.007409,6.2930236,6.293023,6.2930236,3.4145045,4.544969,4.470844,4.350366,6.9619074,6.961908,6.9989033,7.087368
510000,6.774527,6.1997156,5.3046117,5.414207,5.504081,6.3968673,6.597764,4.3218226,4.1434565,4.250084,6.9619074,6.986742,7.0535316
450000,6.747933,6.003852,4.695697,4.710929,7.0704865,7.063521,7.055475,3.8351552,3.8358386,4.0936346,5.41308,6.9928646,7.0184484
390000,7.016684,6.616742,5.7379827,5.60537,7.4890227,7.389028,7.2402186,4.6065383,4.113433,4.2538586,5.1833744,6.8063807,6.7853823
330000,7.6867895,7.394987,7.096105,7.2362013,8.075549,7.941865,6.471673,5.8083115,4.816271,4.71638,4.6877117,4.468103,4.468103
270000,7.7413197,7.641943,7.569879,8.052391,8.573468,8.383819,6.5975986,6.143875,5.2999687,5.1527896,4.710931,4.773012,5.201602
210000,7.7389874,9.999453,9.986475,9.435855,9.121012,6.797544,6.797544,6.6032786,6.012955,5.9126263,5.582638,5.656832,6.3149104
150000,10.111651,10.067059,10.04563,9.772859,9.649605,9.610929,7.3373346,7.115717,6.75988,6.6949673,6.458367,7.1729584,6.4929824
90000,10.735768,10.578384,10.494947,10.098047,9.943083,7.337335,7.337335,7.1312456,6.757542,6.695118,6.461857,8.852514,7.247966
30000,11.121117,11.00788,10.994837,10.5504,10.435572,9.765741,9.296555,9.400133,9.65083,9.57871,8.933394,7.915543,8.813705
-30000,11.340338,11.200181,11.163561,10.7397995,10.625998,9.917706,9.449992,9.462802,9.562072,9.572132,8.943588,5.961633,4.6014943
-90000,11.56525,11.482465,11.473319,11.258802,11.222544,10.586081,10.182137,9.762404,8.695934,5.961633,5.9616327,5.9616337,5.191641
16/02/2000,,,,,,,,,,,,,
--,-90000,-30000,30000,90000,150000,210000,270000,330000,390000,450000,510000,570000,630000
1170000,7.289263,7.237514,7.14934,6.9318953,6.6236205,6.3476076,5.9159427,5.5889707,5.0527654,4.629105,4.0395365,3.5194297,3.0904155
1110000,7.3810787,7.273994,7.129592,6.9434447,6.6462173,6.4103084,6.002603,5.672433,5.1045246,4.6762905,4.045831,3.5478842,3.1381848
1050000,7.7024126,7.6226864,7.4828644,7.281399,6.6215405,6.186937,5.4233947,5.196725,5.243805,4.943409,4.2999997,3.786274,3.3670564
990000,7.783262,7.6780996,7.5133934,7.3592896,6.551221,6.057937,5.1242685,4.9469085,5.3268676,5.0976906,4.429931,3.915037,3.4749358
930000,8.038971,7.943453,7.6932683,7.5142555,6.6245346,2.9142997,2.9142997,4.8792324,5.107621,5.003967,4.6813283,4.232005,3.8033485
870000,8.194364,8.098834,7.7851343,7.6267996,7.3404975,3.7296338,2.6063843,2.0971007,3.359632,4.8634696,4.935067,4.5343995,4.090422
810000,8.336266,8.246104,7.8864484,7.759991,7.7497597,3.901064,2.6370945,2.248209,2.24455,4.901948,5.1279306,4.7781973,4.3313837
750000,8.575734,8.486211,8.068481,7.971752,4.590677,4.0849404,2.9344609,2.5916052,5.014051,5.104764,5.3845067,5.0970445,4.6728487
690000,8.541009,8.465573,8.068953,7.8944397,7.3362355,4.5267057,3.0785933,2.8176768,5.1214843,5.2163997,5.5188856,5.274469,4.855301
630000,8.279619,8.194331,7.8898735,6.4839044,6.166351,4.2394276,3.4443421,3.4227822,3.8580718,5.350558,5.5064588,5.376022,5.1340027
570000,8.197779,8.143976,6.667352,6.667352,6.667352,3.4899278,4.2516165,4.1140375,4.006342,5.495813,5.495813,5.4417596,5.3125067
510000,6.99138,6.6064005,6.0066075,6.07987,6.1399508,6.05006,6.1306586,4.1081057,3.9665642,4.0235853,5.4958124,5.4787164,5.440204
450000,6.9735775,6.4754014,5.599552,5.609735,6.7454095,6.6566343,6.5413237,3.9072952,3.907426,4.0352306,4.6890807,5.547381,5.5746894
390000,7.247244,6.9808173,6.3408713,6.246931,7.1724052,6.9944243,6.7362304,4.5502253,4.1099143,4.1528854,4.555456,5.545716,5.540838
330000,7.8843045,7.5852814,7.302933,7.3650312,7.7852426,7.610932,6.134912,5.5097322,4.56853,4.4466395,4.267119,4.1393676,4.1393676
270000,7.933119,7.762367,7.6385436,7.8979597,8.325448,8.112359,6.271922,5.7961526,4.914222,4.7649174,4.3342047,4.3846364,4.7345047
210000,7.9291124,9.875389,9.849115,9.273298,8.9413805,6.489468,6.489468,6.2344575,5.5160117,5.3986487,5.034463,5.0940766,5.637807
150000,10.006632,9.941716,9.911992,9.655026,9.538043,9.49495,7.0767756,6.7194586,6.1457396,6.05069,5.7392235,6.445858,6.030968
90000,10.588837,10.470319,10.38958,10.030207,9.882518,7.076776,7.076776,6.744497,6.1419706,6.050888,5.74382,8.111065,6.6980414
30000,10.949669,10.923891,10.920922,10.555262,10.460787,9.648682,9.077905,9.014776,8.985395,8.886197,8.194273,7.4020123,8.09105
-30000,11.225938,11.163368,11.122372,10.776816,10.673977,9.807318,9.236741,9.08666,8.914783,8.881417,8.205202,5.382104,4.7666125
-90000,11.513734,11.503126,11.49495,11.363977,11.339233,10.518574,10.002798,9.445956,8.14969,5.382105,5.382104,5.3821044,4.931069
16/03/2000,,,,,,,,,,,,,
--,-90000,-30000,30000,90000,150000,210000,270000,330000,390000,450000,510000,570000,630000
1170000,7.9155865,7.8242235,7.7279115,7.5233126,7.3064666,7.122904,6.924033,6.7105427,6.257053,5.8581214,5.2792196,4.740882,4.340796
1110000,7.9898086,7.8513627,7.7084956,7.5298095,7.3107347,7.149953,6.9544625,6.7272077,6.242497,5.8305235,5.200952,4.693968,4.3164353
