Period,Grid Component,Min,Max,Avg,p90
2080-2099,Gas,14.63,22.78,18.31,21.19
2080-2099,Nuclear,14.7,25.76,19.7,23.6
2080-2099,Solar PV,4.45,9.61,6.78,8.6
2080-2099,Transformers,14.27,25.01,19.12,22.92
2080-2099,Overhead Lines,14.55,28.52,20.86,25.79
2080-2099,Demand,43.93,70.58,57.05,67.81
2030-2050,Gas,9.28,17.63,13.22,16.59
2030-2050,Nuclear,7.44,18.77,12.78,17.36
2030-2050,Solar PV,1.07,6.35,3.56,5.69
2030-2050,Transformers,7.22,18.22,12.41,16.85
2030-2050,Overhead Lines,5.39,19.69,12.13,17.91
2030-2050,Demand,22.6,53.64,38.96,51.64
