Period,Grid Component,Min,Max,Avg,,,,,,,,,,,,
2020-2040,Gas,9.64,16.85,13.08,,,,,,,,,,,,
2020-2040,Nuclear,7.92,17.72,12.59,,,,/Users/katerinafoka/Documents/Imperial_Courses/Master Thesis/7.Code/SEF_ElecResilience/5_Calculations/daily_main.ipynb,,,Max,Avg,,,,
2020-2040,Hydroelectric,9.64,16.85,13.08,,,,,,,,,,,,
2020-2040,Solar PV,1.29,5.86,3.47,,,,,,,,,,,,
2020-2040,Transformers,7.69,17.2,12.22,,,,,,,,,,,,
2020-2040,Poles,9.64,16.85,13.08,,,,,,,,,,,,
2020-2040,Overhead Lines,5.99,18.36,11.89,,,,,,,,,,,,
2020-2040,Demand,22.24,50.02,37.04,,,,,2030-2050,Min,Max,Avg,2080-2099,Min,Max,Avg
2080-2099,Gas,14.63,22.78,18.31,,,,2030-2050,Gas,9,18,13,Gas,15,23,18
2080-2099,Nuclear,14.7,25.76,19.7,,,,2030-2050,Nuclear,7,19,13,Nuclear,15,26,20
2080-2099,Solar PV,4.45,9.61,6.78,,,,2030-2050,Solar PV,1,6,4,Solar PV,4,10,7
2080-2099,Transformers,14.27,25.01,19.12,,,,2030-2050,Transformers,7,18,12,Transformers,14,25,19
2080-2099,Overhead Lines,14.55,28.52,20.86,,,,2030-2050,Overhead Lines,5,20,12,Overhead Lines,15,29,21
2080-2099,Demand,43.93,70.58,57.05,,,,2030-2050,Demand,23,54,39,Demand,44,71,57
2030-2050,Gas,9.28,17.63,13.22,,,,,,,,,,,,
2030-2050,Nuclear,7.44,18.77,12.78,,,,,,,,,,,,
2030-2050,Hydroelectric,9.28,17.63,13.22,,,,,,,,,,,,
2030-2050,Solar PV,1.07,6.35,3.56,,,,,,,,,,,,
2030-2050,Transformers,7.22,18.22,12.41,,,,,,,,,,,,
2030-2050,Poles,9.28,17.63,13.22,,,,,,,,,,,,
2030-2050,Overhead Lines,5.39,19.69,12.13,,,,,,,,,,,,
2030-2050,Demand,22.6,53.64,38.96,,,,,,,,,,,,
